Size: 500, 	, Threads: 30, 	Time: 0.077302 s, 	Result: -111362502093081580696465357284349185141363634897860682081340490644453157477161850635769268008697701995163426412074897176298268911344098887448300193484020670589768438546239390998666552323643659310947053350472334322427970015973449055290417555491238851534389248.000000
Size: 500, 	, Threads: 60, 	Time: 0.082567 s, 	Result: -111362502093081580696465357284349185141363634897860682081340490644453157477161850635769268008697701995163426412074897176298268911344098887448300193484020670589768438546239390998666552323643659310947053350472334322427970015973449055290417555491238851534389248.000000
Size: 500, 	, Threads: 90, 	Time: 0.108036 s, 	Result: -111362502093081580696465357284349185141363634897860682081340490644453157477161850635769268008697701995163426412074897176298268911344098887448300193484020670589768438546239390998666552323643659310947053350472334322427970015973449055290417555491238851534389248.000000
Size: 500, 	, Threads: 120, 	Time: 0.123641 s, 	Result: -111362502093081580696465357284349185141363634897860682081340490644453157477161850635769268008697701995163426412074897176298268911344098887448300193484020670589768438546239390998666552323643659310947053350472334322427970015973449055290417555491238851534389248.000000
Size: 500, 	, Threads: 150, 	Time: 0.105563 s, 	Result: -111362502093081580696465357284349185141363634897860682081340490644453157477161850635769268008697701995163426412074897176298268911344098887448300193484020670589768438546239390998666552323643659310947053350472334322427970015973449055290417555491238851534389248.000000
Size: 1000, 	, Threads: 30, 	Time: 0.402748 s, 	Result: inf
Size: 1000, 	, Threads: 60, 	Time: 0.414114 s, 	Result: inf
Size: 1000, 	, Threads: 90, 	Time: 0.425752 s, 	Result: inf
Size: 1000, 	, Threads: 120, 	Time: 0.386550 s, 	Result: inf
Size: 1000, 	, Threads: 150, 	Time: 0.440333 s, 	Result: inf
Size: 2000, 	, Threads: 30, 	Time: 3.181099 s, 	Result: inf
Size: 2000, 	, Threads: 60, 	Time: 2.459659 s, 	Result: inf
Size: 2000, 	, Threads: 90, 	Time: 2.352805 s, 	Result: inf
Size: 2000, 	, Threads: 120, 	Time: 2.213637 s, 	Result: inf
Size: 2000, 	, Threads: 150, 	Time: 1.875092 s, 	Result: inf
Size: 5000, 	, Threads: 30, 	Time: 35.406774 s, 	Result: -inf
Size: 5000, 	, Threads: 60, 	Time: 28.642973 s, 	Result: -inf
Size: 5000, 	, Threads: 90, 	Time: 27.256204 s, 	Result: -inf
Size: 5000, 	, Threads: 120, 	Time: 25.122075 s, 	Result: -inf
Size: 5000, 	, Threads: 150, 	Time: 23.316197 s, 	Result: -inf
